date,name,year,letterboxd,rating,tv,director
2018-03-22,Marley & Me,2008,https://letterboxd.com/film/marley-me/,1.5,,
2018-03-22,Den of Thieves,2018,https://letterboxd.com/film/den-of-thieves/,2.5,,
2018-03-22,When We First Met,2018,https://letterboxd.com/film/when-we-first-met/,2,,
2018-02-14,Guardians of the Galaxy Vol. 2,2017,https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/,3,,
2018-02-13,Brick,2005,https://letterboxd.com/film/brick/,3.5,,
2018-02-13,Deep End,1970,https://letterboxd.com/film/deep-end/,3.5,,
2018-01-30,The Reader,2008,https://letterboxd.com/film/the-reader/,3.5,,
2018-01-22,1922,2017,https://letterboxd.com/film/1922-2017/,3,,
2018-01-15,Kiss Kiss Bang Bang,2005,https://letterboxd.com/film/kiss-kiss-bang-bang-2005/,3,,
2018-01-10,Ghost Dog: The Way of the Samurai,1999,https://letterboxd.com/film/ghost-dog-the-way-of-the-samurai/,3.5,,
2017-12-24,Memories of Murder,2003,https://letterboxd.com/film/memories-of-murder/,4,,
2017-12-09,Justice League,2017,https://letterboxd.com/film/justice-league/,3,,
2017-12-09,Wonder,2017,https://letterboxd.com/film/wonder-2017/,3,,
2017-10-30,Gone Girl,2014,https://letterboxd.com/film/gone-girl/,3.5,,
2017-09-21,The Big Sick,2017,https://letterboxd.com/film/the-big-sick/,3,,
2017-09-18,Fantastic Mr. Fox,2009,https://letterboxd.com/film/fantastic-mr-fox/,4,,
2017-09-11,Nymphomaniac: Vol. I,2013,https://letterboxd.com/film/nymphomaniac-volume-i/,3,,
2017-09-01,Train to Busan,2016,https://letterboxd.com/film/train-to-busan/,3,,
2017-08-08,The Disappearance of Eleanor Rigby: Him,2013,https://letterboxd.com/film/the-disappearance-of-eleanor-rigby-him/,3,,
2017-08-08,Decalogue I,1989,https://letterboxd.com/film/decalogue-i/,4.5,1,Krzysztof Kieślowski
2017-08-08,Decalogue II,1989,https://letterboxd.com/film/decalogue-ii/,3.5,1,
2017-08-08,Decalogue III,1989,https://letterboxd.com/film/decalogue-iii/,3.5,1,
2017-08-08,Film Noir: Bringing Darkness to Light,2006,https://letterboxd.com/film/film-noir-bringing-darkness-to-light/,2,,
2017-08-08,Il Posto,1961,https://letterboxd.com/film/il-posto/,3.5,,
2017-07-11,The Piano Teacher,2001,https://letterboxd.com/film/the-piano-teacher/,3.5,,
2017-06-30,Stranger Than Paradise,1984,https://letterboxd.com/film/stranger-than-paradise/,3.5,,
2017-06-24,About Time,2013,https://letterboxd.com/film/about-time/,3.5,,
2017-06-09,Wonder Woman,2017,https://letterboxd.com/film/wonder-woman-2017/,3,,
2017-06-09,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://letterboxd.com/film/pirates-of-the-caribbean-dead-men-tell-no-tales/,2,,
2017-04-21,Satanás - Profile of a Killer,2007,https://letterboxd.com/film/satanas-profile-of-a-killer/,3.5,,
2017-04-16,Captain Fantastic,2016,https://letterboxd.com/film/captain-fantastic/,4,,
2017-04-16,Hunt for the Wilderpeople,2016,https://letterboxd.com/film/hunt-for-the-wilderpeople/,3,,
2017-04-16,Wrath of the Titans,2012,https://letterboxd.com/film/wrath-of-the-titans/,2,,
2017-04-16,La La Land,2016,https://letterboxd.com/film/la-la-land/,3.5,,
2017-04-10,X2,2003,https://letterboxd.com/film/x2/,2.5,,
2017-04-08,Logan,2017,https://letterboxd.com/film/logan-2017/,3,,
2017-04-08,X-Men,2000,https://letterboxd.com/film/x-men/,2.5,,
2017-04-04,Ghost in the Shell,2017,https://letterboxd.com/film/ghost-in-the-shell-2017/,3,,
2017-03-28,The Lobster,2015,https://letterboxd.com/film/the-lobster/,3.5,,
